title,keywords,journal,authors,abstract
camtrapr: an r package for efficient camera trap data management,biodiversity surveys; camera trapping; data management; detection history; monitoring; occupancy models; photo trapping; spatial capture-recapture models; wildlife studies,METHODS IN ECOLOGY AND EVOLUTION,NIEDBALLA J;SOLLMANN R;COURTIOL A;WILTING A,"1. camera trapping is a widely applied method to study mammalian biodiversity and is still gaining popularity. it can quickly generate large amounts of data which need to be managed in an efficient and transparent way that links data acquisition with analytical tools. 2. we describe the free and open-source r package camtrapr, a new toolbox for flexible and efficient management of data generated in camera trap-based wildlife studies. the package implements a complete workflow for processing camera trapping data. it assists in image organization, species and individual identification, data extraction from images, tabulation and visualization of results and export of data for subsequent analyses. there is no limitation to the number of images stored in this data management system; the system is portable and compatible across operating systems. 3. the functions provide extensive automation to minimize data entry mistakes and, apart from species and individual identification, require minimal manual user input. species and individual identification are performed outside the r environment, either via tags assigned in dedicated image management software or by moving images into species directories. 4. input for occupancy and (spatial) capture-recapture analyses for density and abundance estimation, for example in the r packages unmarked or secr, is computed in a flexible and reproducible manner. in addition, survey summary reports can be generated, spatial distributions of records can be plotted and exported to gis software, and single-and two-species activity patterns can be visualized. 5. camtrapr allows for streamlined and flexible camera trap data management and should be most useful to researchers and practitioners who regularly handle large amounts of camera trapping data."
"integrating biology, field logistics, and simulations to optimize parameter estimation for imperiled species",multi-state open robust design; parameter estimation; temporary emigration; anaxyrus boreas boreas; survey design,ECOLOGICAL MODELLING,LANIER WE;BAILEY LL;MUTHS E,"conservation of imperiled species often requires knowledge of vital rates and population dynamics. however, these can be difficult to estimate for rare species and small populations. this problem is further exacerbated when individuals are not available for detection during some surveys due to limited access, delaying surveys and creating mismatches between the breeding behavior and survey timing. here we use simulations to explore the impacts of this issue using four hypothetical boreal toad (anaxyrus boreas boreas) populations, representing combinations of logistical access (accessible, inaccessible) and breeding behavior (synchronous, asynchronous). we examine the bias and precision of survival and breeding probability estimates generated by survey designs that differ in effort and timing for these populations. our findings indicate that the logistical access of a site and mismatch between the breeding behavior and survey design can greatly limit the ability to yield accurate and precise estimates of survival and breeding probabilities. simulations similar to what we have performed can help researchers determine an optimal survey design(s) for their system before initiating sampling efforts. (c) 2016 elsevier b.v. all rights reserved."
open models for removal data,common lizard; depletion; great crested newts; rjmcmc; stopover model,ANNALS OF APPLIED STATISTICS,MATECHOU E;MCCREA RS;MORGAN BJT;NASH DJ;GRIFFITHS RA,"individuals of protected species, such as amphibians and reptiles, often need to be removed from sites before development commences. usually, the population is considered to be closed. all individuals are assumed to (i) be present and available for detection at the start of the study period and (ii) remain at the site until the end of the study, unless they are detected. however, the assumption of population closure is not always valid. we present new removal models which allow for population renewal through birth and/or immigration, and population depletion through sampling as well as through death/emigration. when appropriate, productivity may be estimated and a bayesian approach allows the estimation of the probability of total population depletion. we demonstrate the performance of the models using data on common lizards, zootoca vivipara, and great crested newts, triturus cristatus."
intrinsic heterogeneity in detection probability and its effect on n-mixture models,abundance-estimation; behaviour; density dependence; detection probability; model testing; monitoring; negative binomial; poisson; population survey; zero-inflated poisson,METHODS IN ECOLOGY AND EVOLUTION,VEECH JA;OTT JR;TROY JR,"estimating the abundance or density of animal populations is often a fundamental task in ecological research and species conservation. n-mixture models are widely used to estimate the detection probability of individual organisms that thusly leads to more accurate estimates of a species' true abundance. however, individuals likely vary in their probabilities of being detected. during a survey, heterogeneity (variation) in individual detection probability might arise due to conditions of the surveying process; this form of extrinsic heterogeneity can be accounted for by the use of appropriate covariates in the models. in contrast, intrinsic heterogeneity in the detection probabilities of individuals arises when intraspecific variation in behaviour results in individual organisms differing in their latent (inherent) probabilities of being detected. this form of heterogeneity is not tractable by the use of covariates and its possible effects on model performance have not been investigated to date. using simulated data, we evaluated the performance of poisson, negative binomial and zero-inflated poisson versions of n-mixture models under the conditions of intrinsic heterogeneity in individual detection probability. most versions of n-mixture models performed well in estimating abundance as indicated by relatively low root-mean-square-error values (rmse<1). error distributions indicated a lack of substantial bias and relatively high precision and accuracy when simulated detection probabilities of individuals were high (>05) and heterogeneity was random. otherwise, with structured heterogeneity (particularly positive density dependence) and low detection probabilities (<05), model performance was reduced (rmse>2). the poorest performing model was the zero-inflated poisson version of n-mixture model applied to data from low survey effort. our results suggest that n-mixture models are robust to intrinsic heterogeneity in individual detection probabilities except when the detection probabilities are low. when model-estimated detection probabilities are low (<05), model users should be aware that estimates of abundance could be erroneous if there was non-random intrinsic heterogeneity in individual detection probabilities during the surveys. remedying this situation might require redesigning the basic survey protocol such that it does not rely on behavioural traits (as cues to detection) that are intrinsically variable among individuals."
a flexible ratio regression approach for zero-truncated capture-recapture counts,capture-recapture; mixed binomial distributions; ratio regression estimator; zero-truncated model,BIOMETRICS,BOHNING D;ROCCHETTI I;ALFO M;HOLLING H,"capture-recapture methods are used to estimate the size of a population of interest which is only partially observed. in such studies, each member of the population carries a count of the number of times it has been identified during the observational period. in real-life applications, only positive counts are recorded, and we get a truncated at zero-observed distribution. we need to use the truncated count distribution to estimate the number of unobserved units. we consider ratios of neighboring count probabilities, estimated by ratios of observed frequencies, regardless of whether we have a zero-truncated or an untruncated distribution. rocchetti et al. (2011) have shown that, for densities in the katz family, these ratios can be modeled by a regression approach, and rocchetti et al. (2014) have specialized the approach to the beta-binomial distribution. once the regression model has been estimated, the unobserved frequency of zero counts can be simply derived. the guiding principle is that it is often easier to find an appropriate regression model than a proper model for the count distribution. however, a full analysis of the connection between the regression model and the associated count distribution has been missing. in this manuscript, we fill the gap and show that the regression model approach leads, under general conditions, to a valid count distribution; we also consider a wider class of regression models, based on fractional polynomials. the proposed approach is illustrated by analyzing various empirical applications, and by means of a simulation study."
modelling temporal and spatial variability in tag reporting-rates for newfoundland cod (gadus morhua),cod; mark-recapture; tag reporting-rate; tagging; tmb,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,KONRAD C;BRATTEY J;CADIGAN NG,"mark-recapture experiments can be used to estimate the exploitation rate of a fishery; however, the estimate is influenced by the tag reporting-rate by the fishers. we present two methods to estimate the reporting rates in high/low reward ($100 and $10 cad respectively) long-term cod tagging experiments. we fit two binomial logistic mixed-effect models, one with temporal auto-correlation in the reporting-rate year-effects and one with independent year-effects. we estimate reporting-rates separately for recreational and commercial fishers, and test for spatial variation using fixed-effects for spatial regions. due to the complexity of the fishery, our models account for factors such as recapture-fishery type, fish-size and time-at-liberty. our results indicate that the recreational fishers reporting-rate was constant at 0.51 across all regions and years. the commercial fishery showed more spatial and temporal variation, with the reporting-rates estimates lying between 0.67 and 0.87 for the independent year-effect model, and between 0.57 and 0.84 for the random walk model. furthermore, we assessed the model performance as well as the coverage probability of nominal 95 % confidence intervals using simulations. we found that the models performed adequately; however, the nominal 95 % confidence intervals tended to be too narrow."
the influence of environmental parameters on the performance and detection range of acoustic receivers,aatams - imos; acoustic telemetry; detection probability; detection range; sentinel tags,METHODS IN ECOLOGY AND EVOLUTION,HUVENEERS C;SIMPFENDORFER CA;KIM S;SEMMENS JM;HOBDAY AJ;PEDERSON H;STIEGLITZ T;VALLEE R;WEBBER D;HEUPEL MR;PEDDEMORS V;HARCOURT RG,"acoustic telemetry is being increasingly used to study the ecology of many aquatic organisms. this widespread use has been advanced by national and international tracking programs that coordinate deployment of passive acoustic telemetry networks on a regional and continental scale to detect tagged animals. while it is well-known that environmental conditions can affect the performance of acoustic receivers, these effects are rarely quantified despite the profound implications for tag detection and hence the ecological inferences. here, we deployed eight receivers at different depths within the water column and at different orientations (hydrophone up or down) and 12 tags 200-800m from the receivers for 234days to investigate how the tag detection range of acoustic receivers varied through time and under different meteorologic and oceanographic conditions. the study showed that receiver depth and orientation, and time since deployment had the largest effect on the detection range. thermocline gradient and depth, and wind speed were the environmental factors most affecting detection range, while wind direction, precipitation and atmospheric pressure had negligible or no effect. comparison of results to a proposed general acoustic theory model and previous studies showed that findings from specific habitat types cannot be generalised and applied across other habitats or environments. a good understanding of the acoustic coverage and temporal variations in relation to environmental conditions are crucial to accurate interpretation of results, and ensuing management recommendations. we recommend that each study include stationary reference tags to measure changes in detection probability with time, help refine detection range, and be used to improve confidence in the reporting and interpretation of the data."
hierarchical models for describing space-for-time variations in insect population size and sex-ratio along a primary succession,animal abundance; carabids; cold-adapted species; detection probability; removal sampling; sex-ratio,ECOLOGICAL MODELLING,TENAN S;MAFFIOLETTI C;CACCIANIGA M;COMPOSTELLA C;SEPPI R;GOBBI M,"chronosequences of glacier retreat are useful for investigating primary successions over time periods that are longer than direct observation would permit. in this context, space-for-time substitution studies have been applied to assess the effects of climate change on invertebrate assemblages. however, population dynamics of insect species following retreating glaciers has been under-investigated until now due to difficulty in applying capture-recapture methods and correctly identifying species in the field. removal sampling methods are commonly used, but imperfect detectability is rarely accounted for in the analytical framework. in this paper we study the effects of environmental drivers of spatial, and indirectly temporal, variation in population size and sex-ratio of cold-adapted insects through a hierarchical framework for abundance. we show the importance of a metapopulation design, where samples are replicated in space and time, to model data from small and scattered populations, typically present in habitats with climate mediated selective pressure like those along glacier forelands. this scattered distribution can influence the observation or sampling process and thus species detectability. our results show that glacier retreat differently affects species-specific changes of population size and sex ratio along the chronosequence, even if the species are taxonomically related. small-sized populations occur on the glacier surface, near the glacier front, and in sites deglaciated for at least 100 yrs. on the contrary, larger populations occupy sites deglaciated for more than 20 yrs, but less than 100 yrs. this pattern is described by the concave relationship of abundance with both species richness of other arthropods (proxy of habitat complexity) and soil organic matter (proxy of soil maturity). sex-ratio showed opposite patterns in relation to time since deglaciation. hierarchical models that estimate abundance of spatially distinct subpopulations represent useful tools for accurately assessing changes in species abundance following climate change while accounting for possible bias associated with imperfect detectability, an issue which is often neglected in space-for-time substitution studies on invertebrates and, more generally, in studies involving pitfall trapping. (c) 2016 elsevier b.v. all rights reserved."
semi-markov arnason-schwarz models,capture-recapture-recovery; dwell-time distribution; hidden markov model; multi-state model,BIOMETRICS,KING R;LANGROCK R,"we consider multi-state capture-recapture-recovery data where observed individuals are recorded in a set of possible discrete states. traditionally, the arnason-schwarz model has been fitted to such data where the state process is modeled as a first-order markov chain, though second-order models have also been proposed and fitted to data. however, low-order markov models may not accurately represent the underlying biology. for example, specifying a (time-independent) first-order markov process involves the assumption that the dwell time in each state (i.e., the duration of a stay in a given state) has a geometric distribution, and hence that the modal dwell time is one. specifying time-dependent or higher-order processes provides additional flexibility, but at the expense of a potentially significant number of additional model parameters. we extend the arnason-schwarz model by specifying a semi-markov model for the state process, where the dwell-time distribution is specified more generally, using, for example, a shifted poisson or negative binomial distribution. a state expansion technique is applied in order to represent the resulting semi-markov arnason-schwarz model in terms of a simpler and computationally tractable hidden markov model. semi-markov arnason-schwarz models come with only a very modest increase in the number of parameters, yet permit a significantly more flexible state process. model selection can be performed using standard procedures, and in particular via the use of information criteria. the semi-markov approach allows for important biological inference to be drawn on the underlying state process, for example, on the times spent in the different states. the feasibility of the approach is demonstrated in a simulation study, before being applied to real data corresponding to house finches where the states correspond to the presence or absence of conjunctivitis."
an r package for analysing survival using continuous-time open capture-recapture models,estimation bias; frequentist inference; inhomogeneous poisson process; maximum likelihood estimation; survival analysis model,METHODS IN ECOLOGY AND EVOLUTION,FOUCHET D;SANTIN JANIN H;SAUVAGE F;YOCCOZ NG;PONTIER D,"1. capture-recapture software packages have proven to be very powerful tools for analysing factors affecting survival in wild populations. however, all such packages are limited to discrete-time protocols. appropriate survival analysis tools are still lacking for data acquired from continuous-time protocols. 2. we have developed a statistical method and propose an r package for analysing such data based on an extension of classical survival analysis models incorporating an inhomogeneous poisson process for modelling capture histories. first, data were simulated from a continuous-time protocol. these data were used to (i) compare survival estimation biases of discrete-and continuous-time approaches and (ii) investigate the performance and accuracy of our r package for four types of covariates: factors varying between individuals (like sex), in time (like climatic factors), both in time and between individuals (like physical condition) and age (as a categorical factor). secondly, the r package has been applied to a real data set for survival analysis of cats in the kerguelen archipelago (regrouping 682 cats over 20 years) as an illustrative example. 3. results of the simulated data analysis show that the method performs better than its discrete-time counterpart for analysing data acquired from continuous-time protocols. it provides unbiased parameter estimates for all parameters except those that vary both in time and between individuals - which is not surprising, since in our case, these factors were not updated in continuous time (i.e. only upon capture). when applied to the kerguelen cat data set, the results suggest that survival is lower in juveniles than in adults and subadults, varies between study sites and increases with physical condition, and this latter effect being more important in females than in males. sex, season, temporal linear trend in survival and the ndvi vegetation index were also tested but were not found to be significant. however, confidence intervals were too large (due to a low recapture rate) for excluding such effects. further analyses are still needed for rigorous covariate testing in this context. 4. in conclusion, continuous-time approaches - such as that presented in this paper - should be preferred when data acquired from continuous-time protocols is analysed."
the measurement of selection when detection is imperfect: how good are naive methods?,capture-mark-recapture; directional selection; mark; natural selection; selection gradients; simulation; stabilizing selection,METHODS IN ECOLOGY AND EVOLUTION,WALLER J;SVENSSON EI,"1. the life spans of animals can be measured in natural populations by uniquely marking individuals and then releasing them into the field. selection on survival (a component of fitness) can subsequently be quantified by regressing the life spans of these marked individuals on their trait values. however, marked individuals are not always seen on every subsequent catching occasion, and for this reason, imperfect detection is considered a problem when estimating survival selection in natural populations. 2. capture-mark-recapture methods have been advocated as a powerful means to correct for imperfect detection. here, we use simulated and field data sets to evaluate the effect of assuming perfect detection ('naive methods'), when detection is really imperfect. we compared the performance of the naive methods with methods correcting for imperfect detection (mark-recapture methods, or mr). 3. although the effects of trait-dependent recapture probability are mitigated when recapture probability is high, mark-recapture methods still provide the safest choice when recapture probability might be trait-dependent. in our simulations, mark-recapture methods had a power advantage over naive methods, but all methods lost statistical power at low recapture probabilities. 4. the main advantage of mark-recapture methods over naive methods is the ability to control for hidden trait-dependent recapture probability, as it is often hard to tell a priori if trait dependence is an issue in a particular study. however, when trait-dependent recapture probability is weak, naive methods and mark-recapture methods perform similarly as long as recapture rates do not become too low, and the main problem of survival selection studies is still low statistical power. we provide a r package (easymark) alongside with this paper to facilitate future integration between mr methods and classical selection studies. easymark provides the opportunity to convert the regression coefficients from mr-approaches in to classical standardized selection gradients."
extending the latent multinomial model with complex error processes and dynamic markov bases,bayesian inference; markov basis; markov chain monte carlo; mark-recapture; misidentification; queen snake (regina septemvittata),ANNALS OF APPLIED STATISTICS,BONNER SJ;SCHOFIELD MR;NOREN P;PRICE SJ,"the latent multinomial model (lmm) of link et al. [biometrics 66 (2010) 178-185] provides a framework for modelling mark-recapture data with potential identification errors. key is a markov chain monte carlo (mcmc) scheme for sampling configurations of the latent counts of the true capture histories that could have generated the observed data. assuming a linear map between the observed and latent counts, the mcmc algorithm uses vectors from a basis of the kernel to move between configurations of the latent data. schofield and bonner [biometrics 71 (2015) 1070-1080] shows that this is sufficient for some models within the framework but that a larger set called a markov basis is required when errors are more complex. we address two further challenges: (1) that models with complex error mechanisms may not fit within the lmm framework and (2) that markov bases can be difficult to compute for studies of even moderate size. we extend the framework to model the capture/demographic and error processes separately and develop a new mcmc algorithm using dynamic markov bases. our work is motivated by a study of queen snakes (regina septemvittata) and we use simulation to compare estimates of survival rates when snakes are marked with pit tags which have perfect identification versus brands which are prone to error."
capture-recapture abundance estimation using a semi-complete data likelihood approach,bugs; capture-recapture; closed populations; individual heterogeneity; jags; spatially explicit,ANNALS OF APPLIED STATISTICS,KING R;MCCLINTOCK BT;KIDNEY D;BORCHERS D,"capture-recapture data are often collected when abundance estimation is of interest. in this manuscript we focus on abundance estimation of closed populations. in the presence of unobserved individual heterogeneity, specified on a continuous scale for the capture probabilities, the likelihood is not generally available in closed form, but expressible only as an analytically intractable integral. model-fitting algorithms to estimate abundance most notably include a numerical approximation for the likelihood or use of a bayesian data augmentation technique considering the complete data likelihood. we consider a bayesian hybrid approach, defining a ""semi-complete"" data likelihood, composed of the product of a complete data likelihood component for individuals seen at least once within the study and a marginal data likelihood component for the individuals not seen within the study, approximated using numerical integration. this approach combines the advantages of the two different approaches, with the semi-complete likelihood component specified as a single integral (over the dimension of the individual heterogeneity component). in addition, the models can be fitted within bugs/jags (commonly used for the bayesian complete data likelihood approach) but with significantly improved computational efficiency compared to the commonly used superpopulation data augmentation approaches (between about 10 and 77 times more efficient in the two examples we consider). the semicomplete likelihood approach is flexible and applicable to a range of models, including spatially explicit capture-recapture models. the model-fitting approach is applied to two different data sets: the first relates to snowshoe hares where model m-h is applied and the second to gibbons where a spatially explicit capture-recapture model is applied."
accounting for lack of independence and partial overlap of observation zones in line-transect mark-recapture distance sampling,abundance estimation; cephalorhynchus hectori hectori; dependent sightings; hector's dolphins; line-transect survey; mark-recapture distance sampling; partial overlap,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,MACKENZIE DI;CLEMENT D,"line-transect mark-recapture distance sampling methods can be used to estimate abundance when at least two observers sight and record distances to detected groups of individuals within the survey area. however, a lack of independence between the observer's detections will cause biased abundance estimates. studies are also typically designed such that there is complete overlap of the regions searched by the two observers, but that may not always be possible. here we detail an intuitive approach for line-transect distance sampling applications based upon logistic regression to account for a potential lack of independence by using the detections of one observer as a covariate in the detection function of the second observer. partial overlap of the observer survey regions can be addressed by constraining detection probability to equal 0 for the respective observer outside of the overlap zone. we show via simulation that the method provides reliable estimates of abundance and is not affected by random unmodeled heterogeneity in detection probability. the method is illustrated by estimating abundance within the covered region of an aerial line-transect survey for new zealand's endemic hector's dolphin (cephalorhynchus hectori hectori) conducted in the austral summer of 2013, the motivating application for this work. supplementary materials accompanying this paper appear on-line."
a population-size model for protein spot detection in proteomic studies,binomial mixture; capture-recapture; lower bounds; nonidentifiability,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,MAO CX;CHEN SN;YANG YT,"in proteomic studies, a population of proteins are often examined on a gel using a technique called two-dimensional gel eletrophoresis. the technique separates the protein population into individual protein spots on a two-dimensional gel by isoelectric charge and molecular weight. the resulting gel images are then processed by a software system for spot detection and subsequent analysis. the performance of a spot-detection program is evaluated by the total number of spots that are detected. a popular spot-detection program uses the ""master-slave"" approach, where all spots on ""slave images"" are subsets of the spots on the ""master image."" we argue that this approach potentially misses a large proportion of proteins and propose a model that quantifies the lack of performance. we provide nonparametric estimators for the protein population size and the expected number of proteins to be detected if a ""fusion-gel"" approach was used. using the data from a rat liver proteome study, we estimate that more than half of the protein population is missed by the master-slave approach."
a general class of recapture models based on the conditional capture probabilities,aitchinson-silvey algorithm; capture history; equality constraints; heterogeneity; population size,BIOMETRICS,FARCOMENI A,"we propose an mhotb model for population size estimation in capture-recapture studies. the tb part is based on equality constraints for the conditional capture probabilities, leading to an extremely rich model class. observed and unobserved heterogeneity are dealt with by means of a logistic parameterization. in order to explore the model class, we introduce a penalized version of the likelihood. the conditional likelihood and penalized conditional likelihood are maximized by means of efficient em algorithms. simulations and two real data examples illustrate the approach."
flexible behavioral capture-recapture modeling,behavioral response; markov models; mark-recapture; memory effect; memory-related summary statistics; population size,BIOMETRICS,FEGATELLI DA;TARDELLA L,"we develop alternative strategies for building and fitting parametric capture-recapture models for closed populations which can be used to address a better understanding of behavioral patterns. in the perspective of transition models, we first rely on a conditional probability parameterization. a large subset of standard capture-recapture models can be regarded as a suitable partitioning in equivalence classes of the full set of conditional probability parameters. we exploit a regression approach combined with the use of new suitable summaries of the conditioning binary partial capture histories as a device for enlarging the scope of behavioral models and also exploring the range of all possible partitions. we show how one can easily find unconditional mle of such models within a generalized linear model framework. we illustrate the potential of our approach with the analysis of some known datasets and a simulation study."
population size and stopover duration estimation using mark-resight data and bayesian analysis of a superpopulation model,capture-recapture; data augmentation; jolly-seber; mark-resight; migration; state-space model,BIOMETRICS,LYONS JE;KENDALL WL;ROYLE JA;CONVERSE SJ;ANDRES BA;BUCHANAN JB,"we present a novel formulation of a mark-recapture-resight model that allows estimation of population size, stopover duration, and arrival and departure schedules at migration areas. estimation is based on encounter histories of uniquely marked individuals and relative counts of marked and unmarked animals. we use a bayesian analysis of a state-space formulation of the jolly-seber mark-recapture model, integrated with a binomial model for counts of unmarked animals, to derive estimates of population size and arrival and departure probabilities. we also provide a novel estimator for stopover duration that is derived from the latent state variable representing the interim between arrival and departure in the state-space model. we conduct a simulation study of field sampling protocols to understand the impact of superpopulation size, proportion marked, and number of animals sampled on bias and precision of estimates. simulation results indicate that relative bias of estimates of the proportion of the population with marks was low for all sampling scenarios and never exceeded 2%. our approach does not require enumeration of all unmarked animals detected or direct knowledge of the number of marked animals in the population at the time of the study. this provides flexibility and potential application in a variety of sampling situations (e.g., migratory birds, breeding seabirds, sea turtles, fish, pinnipeds, etc.). application of the methods is demonstrated with data from a study of migratory sandpipers."
a functional model for characterizing long-distance movement behaviour,argos; bayesian model; canada lynx; functional data analysis; movement modelling; splines; telemetry,METHODS IN ECOLOGY AND EVOLUTION,BUDERMAN FE;HOOTEN MB;IVAN JS;SHENK TM,"advancements in wildlife telemetry techniques have made it possible to collect large data sets of highly accurate animal locations at a fine temporal resolution. these data sets have prompted the development of a number of statistical methodologies for modelling animal movement. telemetry data sets are often collected for purposes other than fine-scale movement analysis. these data sets may differ substantially from those that are collected with technologies suitable for fine-scale movement modelling and may consist of locations that are irregular in time, are temporally coarse or have large measurement error. these data sets are time-consuming and costly to collect but may still provide valuable information about movement behaviour. we developed a bayesian movement model that accounts for error from multiple data sources as well as movement behaviour at different temporal scales. the bayesian framework allows us to calculate derived quantities that describe temporally varying movement behaviour, such as residence time, speed and persistence in direction. the model is flexible, easy to implement and computationally efficient. we apply this model to data from colorado canada lynx (lynx canadensis) and use derived quantities to identify changes in movement behaviour."
estimating diversity via frequency ratios,alpha diversity; biodiversity; capture-recapture; characterization of distributions; microbial ecology; species richness,BIOMETRICS,WILLIS A;BUNGE J,"we wish to estimate the total number of classes in a population based on sample counts, especially in the presence of high latent diversity. drawing on probability theory that characterizes distributions on the integers by ratios of consecutive probabilities, we construct a nonlinear regression model for the ratios of consecutive frequency counts. this allows us to predict the unobserved count and hence estimate the total diversity. we believe that this is the first approach to depart from the classical mixed poisson model in this problem. our method is geometrically intuitive and yields good fits to data with reasonable standard errors. it is especially well-suited to analyzing high diversity datasets derived from next-generation sequencing in microbial ecology. we demonstrate the method's performance in this context and via simulation, and we present a dataset for which our method outperforms all competitors."
double-observer line transect surveys with markov-modulated poisson process models for animal availability,abundance estimation; availability bias; cox point process; mark-recapture; maximum likelihood,BIOMETRICS,BORCHERS DL;LANGROCK R,"we develop maximum likelihood methods for line transect surveys in which animals go undetected at distance zero, either because they are stochastically unavailable while within view or because they are missed when they are available. these incorporate a markov-modulated poisson process model for animal availability, allowing more clustered availability events than is possible with poisson availability models. they include a mark-recapture component arising from the independent-observer survey, leading to more accurate estimation of detection probability given availability. we develop models for situations in which (a) multiple detections of the same individual are possible and (b) some or all of the availability process parameters are estimated from the line transect survey itself, rather than from independent data. we investigate estimator performance by simulation, and compare the multiple-detection estimators with estimators that use only initial detections of individuals, and with a single-observer estimator. simultaneous estimation of detection function parameters and availability model parameters is shown to be feasible from the line transect survey alone with multiple detections and double-observer data but not with single-observer data. recording multiple detections of individuals improves estimator precision substantially when estimating the availability model parameters from survey data, and we recommend that these data be gathered. we apply the methods to estimate detection probability from a double-observer survey of north atlantic minke whales, and find that double-observer data greatly improve estimator precision here too."
connecting the latent multinomial,capture-recapture; linear constraint; markov basis; markov chain monte carlo; misidentification,BIOMETRICS,SCHOFIELD MR;BONNER SJ,"link et al. (2010, biometrics 66, 178-185) define a general framework for analyzing capture-recapture data with potential misidentifications. in this framework, the observed vector of counts, y, is considered as a linear function of a vector of latent counts, x, such that y = ax, with x assumed to follow a multinomial distribution conditional on the model parameters, theta. bayesian methods are then applied by sampling from the joint posterior distribution of both x and theta. in particular, link et al. (2010) propose a metropolis-hastings algorithm to sample from the full conditional distribution of x, where new proposals are generated by sequentially adding elements from a basis of the null space (kernel) of a. we consider this algorithm and show that using elements from a simple basis for the kernel of a may not produce an irreducible markov chain. instead, we require a markov basis, as defined by diaconis and sturmfels (1998, the annals of statistics 26, 363-397). we illustrate the importance of markov bases with three capture-recapture examples. we prove that a specific lattice basis is a markov basis for a class of models including the original model considered by link et al. (2010) and confirm that the specific basis used in their example with two sampling occasions is a markov basis. the constructive nature of our proof provides an immediate method to obtain a markov basis for any model in this class."
mixture regression models for closed population capture-recapture data,archimedean copulas; closed population; maximum likelihood; random unit effect; residual heterogeneity; unit level covariates,BIOMETRICS,TOUNKARA F;RIVEST LP,"in capture-recapture studies, the use of individual covariates has been recommended to get stable population estimates. however, some residual heterogeneity might still exist and ignoring such heterogeneity could lead to underestimating the population size (n). in this work, we explore two new models with capture probabilities depending on both covariates and unobserved random effects, to estimate the size of a population. inference techniques including horvitz-thompson estimate and confidence intervals for the population size, are derived. the selection of a particular model is carried out using the akaike information criterion (aic). first, we extend the random effect model of darroch et al. (1993, journal of american statistical association 88, 1137-1148) to handle unit level covariates and discuss its limitations. the second approach is a generalization of the traditional zero-truncated binomial model that includes a random effect to account for an unobserved heterogeneity. this approach provides useful tools for inference about n, since key quantities such as moments, likelihood functions and estimates of n and their standard errors have closed form expressions. several models for the unobserved heterogeneity are available and the marginal capture probability is expressed using the logit and the complementary log-log link functions. the sensitivity of the inference to the specification of a model is also investigated through simulations. a numerical example is presented. we compare the performance of the proposed estimator with that obtained under model m-h of huggins (1989 biometrika 76, 130-140)."
individual heterogeneity in growth and age at sexual maturity: a gamma process analysis of capture-mark-recapture data,hierarchical bayesian analysis; mixed effects; salamanders; von bertalanffy model,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,LINK WA;HESED KM,"knowledge of organisms' growth rates and ages at sexual maturity is important for conservation efforts and a wide variety of studies in ecology and evolutionary biology. however, these life history parameters may be difficult to obtain from natural populations: individuals encountered may be of unknown age, information on age at sexual maturity may be uncertain and interval-censored, and growth data may include both individual heterogeneity and measurement errors. we analyzed mark-recapture data for red-backed salamanders (plethodon cinereus) to compare sex-specific growth rates and ages at sexual maturity. aging of individuals was made possible by the use of a von bertalanffy model of growth, complemented with models for interval-censored and imperfect observations at sexual maturation. individual heterogeneity in growth was modeled through the use of gamma processes. our analysis indicates that female p. cinereus mature earlier and grow more quickly than males, growing to nearly identical asymptotic size distributions as males."
estimating immigration using a bayesian integrated population model: choice of parametrization and priors,bayesian model; immigration; integrated population model; prior sensitivity; source-sink dynamics,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,SCHAUB M;FLETCHER D,"bayesian integrated population modelling provides a natural tool for estimating immigration into a single study population when we have indices of population size, mark-recapture data and fecundity data. we consider the choice of both the parametrization of immigration and its prior. using a simulation study for a model that is typical of those used for short-live bird species, we assess the effect of specifying immigration in terms of the number of immigrants each year, as opposed to an immigration rate. we also assess the effect of the assumption of independence of the data sets, which is commonly required in such modelling. if immigration is occurring, our results suggest that parametrizing the model in terms of number of immigrants will provide a more precise estimate, compared to a parametrization involving an immigration rate, even if we wish to estimate the rate. if there is little or no immigration, use of a model parametrized in terms of an immigration rate can result in overestimation, whereas a model in which immigration is specified as a number offers the possibility to use priors that have a negative lower bound with the consequence that immigration is correctly estimated. use of such a model appears to be robust to the assumption of independence being wrong, our results for independent and dependent data sets being remarkably similar in terms of the distribution, across all simulations, of the posterior means and standard deviations."
